date,rf_rate
2021-01-04,0.00034203346519490196
2021-01-05,0.00034203346519490196
2021-01-06,0.00034203346519490196
2021-01-07,0.00034203346519490196
2021-01-08,0.00030544759650941167
2021-01-11,0.00030544759650941167
2021-01-12,0.00034203346519490196
2021-01-13,0.00034203346519490196
2021-01-14,0.00034203346519490196
2021-01-15,0.00034203346519490196
2021-01-18,0.00034203346519490196
2021-01-19,0.00034203346519490196
2021-01-20,0.00030544759650941167
2021-01-21,0.00034203346519490196
2021-01-22,0.00030544759650941167
2021-01-25,0.00034203346519490196
2021-01-26,0.0002685227460728079
2021-01-27,0.00030544759650941167
2021-01-28,0.0002685227460728079
2021-01-29,0.00023125256064071564
2021-02-01,0.0002685227460728079
2021-02-02,0.0002685227460728079
2021-02-03,0.0001556498627912628
2021-02-04,0.0001556498627912628
2021-02-05,0.00011730371383444904
2021-02-08,0.00019363050654397362
2021-02-09,0.0001556498627912628
2021-02-10,0.00019363050654397362
2021-02-11,0.00019363050654397362
2021-02-12,0.0001556498627912628
2021-02-15,0.0001556498627912628
2021-02-16,0.0001556498627912628
2021-02-17,0.0001556498627912628
2021-02-18,0.00011730371383444904
2021-02-19,0.0001556498627912628
2021-02-22,0.00011730371383444904
2021-02-23,0.0001556498627912628
2021-02-24,0.00011730371383444904
2021-02-25,0.0001556498627912628
2021-02-26,0.0001556498627912628
2021-03-01,0.00019363050654397362
2021-03-02,0.0001556498627912628
2021-03-03,0.00019363050654397362
2021-03-04,0.0001556498627912628
2021-03-05,0.0001556498627912628
2021-03-08,0.00019363050654397362
2021-03-09,0.00019363050654397362
2021-03-10,0.0001556498627912628
2021-03-11,0.0001556498627912628
2021-03-12,0.0001556498627912628
2021-03-15,0.0001556498627912628
2021-03-16,7.85849419846496e-05
2021-03-17,7.85849419846496e-05
2021-03-18,3.948621945371045e-05
2021-03-19,3.948621945371045e-05
2021-03-22,0.00011730371383444904
2021-03-23,3.948621945371045e-05
2021-03-24,7.85849419846496e-05
2021-03-25,7.85849419846496e-05
